id,name,description,record,weight_class,division_rank
1,Ilia Topuria,Undefeated Lightweight Champion with 17 straight wins.,17–0,Lightweight,Champion
2,Islam Makhachev,Dominant wrestler and former Lightweight Champion.,27–1,Lightweight,#1
3,Merab Dvalishvili,Relentless Bantamweight Champion known for cardio and pace.,21–4,Bantamweight,Champion
4,Khamzat Chimaev,Undefeated Middleweight Champion with explosive power.,15–0,Middleweight,Champion
5,Alexandre Pantoja,Flyweight Champion with aggressive grappling style.,30–5,Flyweight,Champion
6,Alex Pereira,Two-division champion known for knockout power.,13–3,Light Heavyweight,Champion
7,Alexander Volkanovski,Technical striker and former long-reigning Featherweight Champ.,27–4,Featherweight,Champion
8,Jack Della Maddalena,Australian Welterweight Champion with crisp boxing skills.,18–2,Welterweight,Champion
9,Tom Aspinall,Explosive Heavyweight Champion with well-rounded game.,15–3 (1 NC),Heavyweight,Champion
10,Dricus du Plessis,Tough South African contender with heavy hands.,23–3,Middleweight,#1
11,Magomed Ankalaev,Powerful Dagestani striker and top Light Heavyweight contender.,20–2–1 (1 NC),Light Heavyweight,#1
12,Max Holloway,Former Featherweight Champion with elite boxing and pace.,27–8,Lightweight,#3
13,Belal Muhammad,Well-rounded Welterweight contender with strong defense.,24–4 (1 NC),Welterweight,#1
14,Arman Tsarukyan,Dynamic Lightweight contender known for his grappling.,22–3,Lightweight,#2
15,Charles Oliveira,Former Lightweight Champion and UFC submission record holder.,36–11 (1 NC),Lightweight,#3
#För v1